property_id,address,orientation
NSW2966604,1 THE LEE,NE
NSW2966604,1 THE LEE,E
NSW2966604,1 THE LEE,SW
NSW2966604,1 THE LEE,E
NSW2966604,1 THE LEE,E
NSW2966604,1 THE LEE,SE
NSW2966604,1 THE LEE,SE
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,SE
NSW2828125,10 CHARLES STREET,N
NSW2828125,10 CHARLES STREET,SE
NSW2828125,10 CHARLES STREET,N
NSW2828125,10 CHARLES STREET,E
NSW2828125,10 CHARLES STREET,SE
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,SE
NSW2828125,10 CHARLES STREET,NE
NSW2828125,10 CHARLES STREET,N
NSW2828125,10 CHARLES STREET,N
NSW2828125,10 CHARLES STREET,E
NSW2828125,10 CHARLES STREET,E
NSW2828125,10 CHARLES STREET,E
NSW2828125,10 CHARLES STREET,E
NSW2828125,10 CHARLES STREET,NW
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,W
NSW2828125,10 CHARLES STREET,SW
NSW2828125,10 CHARLES STREET,N
NSW2828125,10 CHARLES STREET,SE
NSW2914053,10A THE OUTPOST,W
NSW2914053,10A THE OUTPOST,E
NSW2914053,10A THE OUTPOST,NW
NSW2914053,10A THE OUTPOST,NW
NSW2914053,10A THE OUTPOST,NW
NSW2911045,11 THE BARRICADE,N
NSW2911045,11 THE BARRICADE,NW
NSW2911045,11 THE BARRICADE,SW
NSW2911045,11 THE BARRICADE,NE
NSW2911045,11 THE BARRICADE,S
NSW2911045,11 THE BARRICADE,N
NSW2911045,11 THE BARRICADE,S
NSW2911045,11 THE BARRICADE,NW
NSW2911057,11 THE BASTION,S
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,SW
NSW2911057,11 THE BASTION,NE
NSW2911057,11 THE BASTION,NE
NSW2911057,11 THE BASTION,NE
NSW2911057,11 THE BASTION,N
NSW2911057,11 THE BASTION,E
NSW2911057,11 THE BASTION,SE
NSW2911057,11 THE BASTION,SW
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,S
NSW2911057,11 THE BASTION,S
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,E
NSW2911057,11 THE BASTION,E
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,NW
NSW2911057,11 THE BASTION,E
NSW2911057,11 THE BASTION,S
NSW2911057,11 THE BASTION,N
NSW2911057,11 THE BASTION,NW
NSW3617729,12 GARDEN PLACE,SE
NSW2914314,12 THE TOR WALK,SE
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,NE
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,NW
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,NW
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,S
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,NW
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,E
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,SE
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,W
NSW2914314,12 THE TOR WALK,SW
NSW2914314,12 THE TOR WALK,W
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,N
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,N
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,S
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,E
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,SW
NSW2940411,123 EASTERN VALLEY WAY,N
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,S
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,W
NSW2940411,123 EASTERN VALLEY WAY,E
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,E
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,NW
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,SE
NSW2940411,123 EASTERN VALLEY WAY,NW
